"1234";8;4;1;"F";"at start";"at start";""
"234";6;3;2;"E";"during 1st half";"at end";""
"34";4;2;3;"C";"at half time";"at end";""
"4";2;1;4;"8";"during 2nd half";"at end";""
"123";6;3;5;"7";"at end";"during 2nd half";""
"23";4;2;6;"6";"during 1st half";"during 2nd half";""
"3";2;1;7;"2";"at half time";"during 2nd half";""
"12";4;2;9;"3";"at start";"during 1st half";""
"2";2;1;10;"2";"during 1st half";"at half time";""
"1";2;1;11;"1";"at start";"during 1st half";"Although different from 'during 1st half - during 1st half' the points are the same so no matter"
"3";2;1;12;"2";"during 2nd half";"during 2nd half";""
"1";2;1;13;"1";"during 1st half";"during 1st half";""
